Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
S6 4.2,265kW,360hk,276kW,375hk,430Nm,445Nm,
RS6 4.2 2002-,331kW,450hk,386kW,525hk,560Nm,650Nm,
 , , , , , , ,
A8,,,,,,,
3.7 V8 (2002-..),206kW,280hk,230kW,313hk,360Nm,390Nm,
4.2 V8 (2002-..),246kW,335hk,268kW,365hk,430Nm,460Nm,
2.5 TDI,110kW,150hk,131kW,195hk,310Nm,395Nm,
2.5 TDI,132kW,180hk,155kW,210hk,370Nm,450Nm,
3.0 TDI V8,171kW,233hk,192kW,261hk,450Nm,560Nm,
3.0 TDI V6 (04-..),162kW,225hk,195kW,266hk,450Nm,535Nm,
3.0 TDI V6 (04-..),162kW,233hk,195kW,266hk,450Nm,535Nm,
3.3 TDI V8,165kW,225hk,184kW,260hk,480Nm,570Nm,
4.0 TDI V8,202kW,275hk,255kW,347hk,650Nm,770Nm,
4.2 TDI V8,240kW,326hk,270kW,367hk,650Nm,740Nm,
 , , , , , , ,
Q5 / Q7,,,,,,,
2.0 TFSI Turbo (2008-....),155kW,211hk,191kW,260hk,350Nm,425Nm,
2.0 TDI (2008-....),125kW,170hk,150kW,205hk,350Nm,420Nm,
2.7 TDI,132kW,180hk,160kW,218hk,380Nm,451Nm,
2.7 TDI DPF (08-..),140kW,190hk,165kW,225hk,400Nm,480Nm,
3.0 TDI,162kW,225hk,195kW,266hk,450Nm,535Nm,
3.0 TDI,171kW,233hk,209kW,284hk,450Nm,560Nm,
3.0 TDI,176kW,240hk,212kW,289hk,500Nm,600Nm,
4.2 TDI,240kW,326hk,280kW,380hk,760Nm,820Nm,
 , , , , , , ,
TT,,,,,,,
1.8 Turbo,110kW,150hk,140kW,195hk,210Nm,260Nm,
1.8 Turbo (2008-....),118kW,160hk,154kW,210hk,250Nm,310Nm,
1.8 Turbo,120kW,163hk,146kW,198hk,225Nm,275Nm,
1.8 Turbo,132kW,180hk,154kW,225hk,235Nm,290Nm,
1.8 Turbo,140kW,190hk,160kW,218hk,240Nm,285Nm,
1.8 Turbo,165kW,225hk,184kW,265hk,280Nm,330Nm,
1.8 Turbo Roadster,132kW,180hk,154kW,225hk,235Nm,290Nm,
1.8 Turbo Roadster,165kW,225hk,184kW,265hk,280Nm,330Nm,
2.0 TFSI Turbo,147kW,200hk,184kW,250hk,280Nm,352Nm,
2.0 TFSI Turbo TTS,200kW,272hk,235kW,320hk,350Nm,420Nm,
3.2 FSI,184kW,250hk,202kW,275hk,320Nm,350Nm,
,,,,,,,
,,,,,,,
BMW,Bilmerke,,,,,,
116... 1 serie,,,,,,,
116i E87,85kW,115hk,94kW,128hk,150Nm,165Nm,
118i E87,95kW,129hk,107kW,144hk,180Nm,200Nm,
120i E87,110kW,150hk,93kW,168hk,200Nm,220Nm,
130i E87,195kW,265hk,93kW,295hk,315Nm,345Nm,
116d E87,66kW,90hk,107kW,145hk,260Nm,300Nm,
